中国工商银行股份有限公司宿迁分行 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
恒丰银行股份有限公司南京分行 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
南方证券股份有限公司南京分公司扬州汶河北路证券营业部 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
招商银行股份有限公司杭州分行 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
江苏银行股份有限公司江都支行 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
江苏银行股份有限公司江都金仝支行 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
富德生命人寿保险股份有限公司常州中心支公司 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
太平人寿保险有限公司常州中心支公司 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
永安财产保险股份有限公司南京分公司武进营销服务部 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
泰康人寿保险有限责任公司江苏常州中心支公司 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
中国平安保险股份有限公司常州中心支公司 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
东海证券股份有限公司常州通江中路证券营业部 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
中国光大银行股份有限公司南京分行 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
平安银行股份有限公司杭州分行 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
东海县农村信用合作联社 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
灌南县农村信用合作联社 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
连云港东方农村商业银行股份有限公司海州区支行 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
中国工商银行股份有限公司南京分行 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
上海浦东发展银行股份有限公司南京分行 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
苏州创元集团财务有限公司 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
银泰证券有限责任公司苏州干将东路证券营业部 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
东吴证券股份有限公司苏州狮山路证券营业部 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
铜山县农村信用合作联社两山口信用社 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
铜山县农村信用合作联社潘塘信用社 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
徐州市郊农村信用合作联社 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
招商银行股份有限公司上海分行 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
中国民生银行股份有限公司苏州分行 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
兴业银行股份有限公司南京分行 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
招商银行股份有限公司苏州分行 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
中国太平洋人寿保险股份有限公司常州分公司 {'code': 404, 'msg': '无法找到输入企业的集团母公司信息', 'entinfo': None}
